Date,RFID_hex,Band,Genus,Species,Sex,Age,Time,Site,Mass,Tail_Length,Wing_Length,Fat_Code,R1_Percent_Rufous,R1_Black_Code,Back_Percent_Green,Gorget_Iridescence,Head_Iridescence,Breeding_Condition_Code,Body_Molt_Code,Gorget_Molt_Code,Head_Molt_Code,Tail_Molt_Code,Primary_Molt_Code
2021-09-17,3D6.1D59AEEA85,A00003305,Calypte,ANHU,F,AHY,09:37:00,SB,4.04,NA,51,0,NA,NA,NA,10,0,0,0,0,0,0,0
2021-09-17,3D6.1D59AEEABC,A00003306,Calypte,ANHU,F,AHY,09:10:00,SB,3.84,NA,51,0,NA,NA,NA,14,0,NA,NA,NA,NA,NA,NA
2021-09-17,3D6.1D59AEEAB2,A00003307,Archilochus,BCHU,F,HY,09:00:00,SB,4,NA,47,2,NA,NA,NA,0,0,NA,3,3,3,NA,4
2021-09-17,3D6.1D59AEEA8E,A00003308,Archilochus,BCHU,M,HY,08:40:00,SB,3.26,NA,44,0,NA,NA,NA,0,0,NA,0,0,0,NA,2
2021-09-17,3D6.1D59AEEAC0,A00003309,Calypte,ANHU,F,AHY,07:32:00,SB,3.73,NA,48,0,NA,NA,NA,0,0,5,3,3,1,0,4
2021-07-30,3D6.1D59AEEA9C,A00003276,Selasphorus,RUHU,F,HY,09:55:00,SB,3.26,NA,43,2,10,2,80,NA,NA,NA,0,0,0,NA,0
2021-07-30,3D6.1D59AEEA9C,A00003208,Selasphorus,RUHU,F,HY,09:55:00,SB,3.26,NA,43,2,10,2,80,NA,NA,0,0,0,0,NA,0
2021-07-30,3D6.1D59AEEA97,A00003264,Archilochus,BCHU,F,AHY,09:50:00,SB,3.54,NA,46,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
2021-07-30,3D6.1D59AEEACE,NA,Archilochus,BCHU,M,AHY,09:33:00,SB,4.32,NA,43,0,NA,NA,NA,8,0,NA,3,4,3,0,0
2021-07-30,3D6.1D59AEEACE,NA,Archilochus,BCHU,M,AHY,09:33:00,SB,4.32,NA,43,0,NA,NA,NA,8,NA,NA,3,4,3,0,0
2021-07-30,3D6.1D59AEEAE0,A00003263,Selasphorus,RUHU,M,HY,09:32:00,SB,3,NA,41.5,0,90,NA,95,1,NA,NA,0,0,0,0,0
2021-07-30,3D6.1D59AEEB79,NA,Archilochus,BCHU,F,AHY,09:15:00,SB,3.47,NA,47,0,NA,NA,NA,0,0,0,2,1,0,0,0
2021-07-30,3D6.1D59AEEAD4,A00003262,Archilochus,BCHU,M,AHY,09:00:00,SB,3.03,NA,42,0,NA,NA,NA,10,0,NA,2,0,0,0,0
2021-07-30,3D6.1D59AEEA98,A00003261,Selasphorus,RUHU,M,HY,09:00:00,SB,3.79,NA,0,0,75,NA,90,5,NA,NA,0,0,0,0,0
2021-07-30,3D6.1D59AEEABB,A00003260,Selasphorus,ALHU,M,HY,08:48:00,SB,3.09,NA,40.5,0,70,NA,90,1,NA,NA,0,0,0,0,0
2021-07-30,3D6.1D59AEEA8C,A00003259,Selasphorus,RUHU,M,HY,08:33:00,SB,4.73,NA,44,5,35,NA,90,0,NA,NA,0,0,0,0,0
2021-07-30,3D6.1D59AEEB57,NA,Archilochus,BCHU,F,AHY,08:30:00,SB,3.64,NA,45,0,NA,NA,NA,0,0,0,0,0,0,0,0
2021-07-30,3D6.1D59AEEB52,NA,Archilochus,BCHU,F,AHY,08:25:00,SB,3.27,NA,48.5,0,NA,NA,NA,0,0,0,0,0,0,NA,0
2021-07-30,3D6.1D59AEEAEA,NA,Calypte,ANHU,M,AHY,08:23:00,SB,NA,NA,50.5,0,NA,NA,NA,10,9,NA,1,0,1,0,2
2021-07-30,3D6.1D593E1AFB,NA,Archilochus,BCHU,F,AHY,08:10:00,SB,3.54,NA,45,0,NA,NA,NA,0,0,0,2,2,2,0,NA
